Satellite ID,Time,Position ECI,Velocity ECI,Position ECEF,Velocity ECEF
12,2024-05-01 12:00:00,[3106269.98710821 6661417.48432469  541105.4010593 ],[-0.0085613   0.01835976  0.19484024],[-5986732.3450457   4264086.29861774   541105.4010593 ],[-0.019609   -0.00508562  0.19484024]
13,2024-05-01 12:00:00,[-526753.27308491 6020817.46201122 3561042.54114954],[0.01161937 0.13281001 0.16021344],[-6016388.39761842   575137.00156335  3561042.54114954],[-0.1284931   0.03553915  0.16021344]
14,2024-05-01 12:00:00,[-1788489.01019312  2554227.01498748  5626801.20812589],[0.12082653 0.17255817 0.08265758],[-2836492.61938294 -1295020.54186778  5626801.20812589],[-0.14775306  0.15014794  0.08265758]
15,2024-05-01 12:00:00,[ 582798.51289179 -271763.40972279 6184863.03541444],[ 0.20985302  0.09785607 -0.01704631],[ 373059.21142527  523771.21175547 6184863.03541444],[-0.05812893  0.22413195 -0.01704631]
16,2024-05-01 12:00:00,[4215821.7730849   368836.61259069 5085695.80706659],[ 0.18967235 -0.01659418 -0.11218266],[ 402715.26399799 4212720.50880985 5085695.80706659],[ 0.05075517  0.18350717 -0.11218266]
17,2024-05-01 12:00:00,[5477557.51019312 3835427.05961442 2623820.4942649 ],[ 0.0804652  -0.05634234 -0.17725976],[-2777180.51423749  6082878.05224099  2623820.4942649 ],[ 0.07001513  0.06889839 -0.17725976]
24,2024-05-01 12:00:00,[-4670524.67471026  5566114.56038586  1164991.90382824],[0.02594377 0.03091858 0.20813864],[-6321583.0533489  -3582320.44016569  1164991.90382824],[-0.02569438  0.03112614  0.20813864]
25,2024-05-01 12:00:00,[-5311124.69702374  1933091.30019274  4312411.2860099 ],[0.14039402 0.05109924 0.16190312],[-2865247.58780492 -4871882.98122958  4312411.2860099 ],[-0.02476013  0.14733821  0.16190312]
26,2024-05-01 12:00:00,[-2485134.27231348  -438196.22289216  6304323.54667435],[ 0.21509611 -0.03792725  0.07228579],[  -20285.93470279 -2523389.93459933  6304323.54667435],[0.07634961 0.20463517 0.07228579]
27,2024-05-01 12:00:00,[ 981456.17471026  823539.51421605 6606997.4041829 ],[ 0.17534796 -0.14713441 -0.03670046],[-631659.74714464 1114665.65309481 6606997.4041829 ],[ 0.17652509  0.14572005 -0.03670046]
28,2024-05-01 12:00:00,[1622056.19702374 4456562.77440916 5139331.64284612],[ 0.06089771 -0.16731508 -0.13585285],[-4087995.21268861  2404228.1941587   5139331.64284612],[ 0.17559084  0.02950797 -0.13585285]
29,2024-05-01 12:00:00,[-1203934.22768652  6827850.29749407  2294586.118173  ],[-0.01380439 -0.07828858 -0.19860358],[-6932956.86579074    55735.14752845  2294586.118173  ],[ 0.07448111 -0.02778898 -0.19860358]
36,2024-05-01 12:00:00,[-6883895.53730095 -1844534.25         269483.10226546],[ 0.05810792 -0.01556997  0.0316831 ],[  564042.56009889 -7104377.54896881   269483.10226546],[0.02586123 0.05431529 0.0316831 ]
37,2024-05-01 12:00:00,[-3689068.5       -3689068.5         736241.5271705],[ 0.11621583 -0.11621583  0.02319364],[ 2957971.3152855 -4297540.9821586   736241.5271705],[0.13538439 0.09318425 0.02319364]
38,2024-05-01 12:00:00,[ -494241.46269905 -1844534.25        1005724.62943596],[ 0.05810792 -0.21686169  0.00848946],[1724143.92175006 -820919.58191183 1005724.62943596],[0.22380749 0.0177689  0.00848946]
39,2024-05-01 12:00:00,[-494241.46269905 1844534.25       1005724.62943596],[-0.05810792 -0.21686169 -0.00848946],[-1903612.22697199  -151134.74847528  1005724.62943596],[ 0.20270742 -0.09651543 -0.00848946]
40,2024-05-01 12:00:00,[-3689068.5        3689068.5         736241.5271705],[-0.11621583 -0.11621583 -0.02319364],[-4297540.9821586 -2957971.3152855   736241.5271705],[ 0.09318425 -0.13538439 -0.02319364]
41,2024-05-01 12:00:00,[-6883895.53730095  1844534.25         269483.10226546],[-0.05810792 -0.01556997 -0.0316831 ],[-3063713.58862315 -6434592.71553226   269483.10226546],[ 0.00476116 -0.05996903 -0.0316831 ]
54,2024-05-01 12:00:00,[-1203934.22768652 -6827850.29749407  1909769.50852536],[ 0.01380439 -0.07828858  0.1652965 ],[ 6495785.8638646  -2423584.80775933  1909769.50852536],[ 0.07949374 -0.00063906  0.1652965 ]
55,2024-05-01 12:00:00,[ 1622056.19702374 -4456562.77440917  4277433.21027408],[-0.06089771 -0.16731508  0.11306947],[4676994.11024135  785967.02304888 4277433.21027408],[ 0.15347775 -0.0902632   0.11306947]
56,2024-05-01 12:00:00,[ 981456.17471027 -823539.51421605 5498962.13765179],[-0.17534796 -0.14713441  0.03054556],[ 988044.81318697  815623.0756216  5498962.13765179],[ 0.11285297 -0.1991473   0.03054556]
